Symbol,CIK,Year,Filing Date,Cosine Distance,Return Date,Return,Return +1,Cosine Similarity,Bins
MO,764180,2008,2009-02-27,0.01520634488855499,2009-02-27,-6.6506,0.5332,0.984793655111445,3
MO,764180,2009,2010-02-24,0.016629714642842797,2010-02-26,1.3092,5.829,0.9833702853571572,2
MO,764180,2010,2011-02-25,0.011423579313191268,2011-02-28,7.9115,3.7276,0.9885764206868087,2
MO,764180,2011,2012-02-16,0.004701658857484969,2012-02-29,5.9859,4.0993,0.995298341142515,3
MO,764180,2012,2013-02-27,0.004315119247796817,2013-02-28,-0.386,3.9203,0.9956848807522032,3
MO,764180,2013,2014-02-26,0.014886612018326861,2014-02-28,2.9529,3.8152,0.9851133879816731,2
MO,764180,2014,2015-02-25,0.010489667849920559,2015-02-27,6.0075,4.5505,0.9895103321500794,2
MO,764180,2015,2016-02-25,0.00872069079019,2016-02-29,0.7527,-10.215,0.99127930920981,2
MO,764180,2016,2017-02-27,0.0029942185674833866,2017-02-28,5.2543,2.688,0.9970057814325166,3
MO,764180,2017,2018-02-27,0.001465242218133156,2018-02-28,-10.5061,-3.8575,0.9985347577818668,4
MO,764180,2018,2019-02-26,0.0093208107239231,2019-02-28,6.2006,0.1112,0.9906791892760769,2
MO,764180,2019,2020-02-25,0.004631771703714649,2020-02-28,-15.0642,11.1048,0.9953682282962854,4
MO,764180,2020,2021-02-26,0.0018507887547369872,2021-02-26,6.1344,-2.1303,0.998149211245263,5
MO,764180,2021,2022-02-25,0.001159344384253913,2022-02-28,0.8058,19.3119,0.9988406556157461,5
MO,764180,2022,2023-02-27,0.007323001767410631,2023-02-28,3.0861,3.6264,0.9926769982325894,3
MO,764180,2023,2024-02-27,0.007231660100426529,2024-02-29,1.9691,-1.8738,0.9927683398995735,3
AMZN,1018724,2004,2005-03-11,0.00426897784267255,2005-03-31,-2.5867,0.7394,0.9957310221573275,5
AMZN,1018724,2005,2006-02-17,0.0017336929232545373,2006-02-28,-16.4659,-2.5867,0.9982663070767455,5
